model_name,tuning_method,subset_strategy,subset_size,target_tokens,random_seed,avg_token_length,total_tokens,evaluation_dataset,accuracy,training_time
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,24,1000,42,41.541666666666664,997,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,24,1000,42,41.541666666666664,997,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,24,1000,42,41.541666666666664,997,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,24,1000,42,41.541666666666664,997,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,27,1000,42,19.037037037037038,514,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,47,1000,42,20.80851063829787,978,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,47,1000,42,20.80851063829787,978,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,47,1000,42,20.80851063829787,978,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,27,1000,42,25.51851851851852,689,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,39,1000,42,25.205128205128204,983,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,39,1000,42,25.205128205128204,983,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,39,1000,42,25.205128205128204,983,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,27,2001,42,40.666666666666664,1098,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,54,2001,42,34.77777777777778,1878,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,58,2001,42,34.1551724137931,1981,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,58,2001,42,34.1551724137931,1981,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,27,2001,42,19.037037037037038,514,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,54,2001,42,21.38888888888889,1155,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,81,2001,42,23.88888888888889,1935,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,82,2001,42,24.0,1968,MMLU:anatomy,0.3333333333333333,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,27,2001,42,25.51851851851852,689,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,54,2001,42,25.38888888888889,1371,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,79,2001,42,25.10126582278481,1983,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,79,2001,42,25.10126582278481,1983,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,27,3033,42,40.666666666666664,1098,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,54,3033,42,34.77777777777778,1878,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,81,3033,42,31.098765432098766,2519,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,108,3033,42,28.083333333333332,3033,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,27,3033,42,19.037037037037038,514,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,54,3033,42,21.38888888888889,1155,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,81,3033,42,23.88888888888889,1935,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,108,3033,42,28.083333333333332,3033,MMLU:anatomy,0.2962962962962963,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,27,3033,42,25.51851851851852,689,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,54,3033,42,25.38888888888889,1371,MMLU:anatomy,0.25925925925925924,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,81,3033,42,25.34567901234568,2053,MMLU:anatomy,0.3333333333333333,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,108,3033,42,28.083333333333332,3033,MMLU:anatomy,0.3333333333333333,0
