model_name,tuning_method,subset_strategy,subset_size,target_tokens,random_seed,avg_token_length,total_tokens,evaluation_dataset,metrics,training_time
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,122,47411,42,387.28688524590166,47249,MMLU:professional_law,accuracy:0.267,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,122,47411,42,387.28688524590166,47249,MMLU:professional_law,accuracy:0.267,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,122,47411,42,387.28688524590166,47249,MMLU:professional_law,accuracy:0.267,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,122,47411,42,387.28688524590166,47249,MMLU:professional_law,accuracy:0.267,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,122,47411,42,387.28688524590166,47249,MMLU:professional_law,accuracy:0.267,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,245,47411,42,89.78367346938775,21997,MMLU:professional_law,accuracy:0.251,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,428,47411,42,110.73130841121495,47393,MMLU:professional_law,accuracy:0.248,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,428,47411,42,110.73130841121495,47393,MMLU:professional_law,accuracy:0.248,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,428,47411,42,110.73130841121495,47393,MMLU:professional_law,accuracy:0.248,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,428,47411,42,110.73130841121495,47393,MMLU:professional_law,accuracy:0.248,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,245,47411,42,176.71836734693878,43296,MMLU:professional_law,accuracy:0.264,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,269,47411,42,176.16728624535315,47389,MMLU:professional_law,accuracy:0.254,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,269,47411,42,176.16728624535315,47389,MMLU:professional_law,accuracy:0.254,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,269,47411,42,176.16728624535315,47389,MMLU:professional_law,accuracy:0.254,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,269,47411,42,176.16728624535315,47389,MMLU:professional_law,accuracy:0.254,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,245,94822,42,332.7795918367347,81531,MMLU:professional_law,accuracy:0.257,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,299,94822,42,317.03010033444815,94792,MMLU:professional_law,accuracy:0.257,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,299,94822,42,317.03010033444815,94792,MMLU:professional_law,accuracy:0.257,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,299,94822,42,317.03010033444815,94792,MMLU:professional_law,accuracy:0.257,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,299,94822,42,317.03010033444815,94792,MMLU:professional_law,accuracy:0.257,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,245,94822,42,89.78367346938775,21997,MMLU:professional_law,accuracy:0.251,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,490,94822,42,116.45102040816326,57061,MMLU:professional_law,accuracy:0.241,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,705,94822,42,134.3631205673759,94726,MMLU:professional_law,accuracy:0.244,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,705,94822,42,134.3631205673759,94726,MMLU:professional_law,accuracy:0.244,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,705,94822,42,134.3631205673759,94726,MMLU:professional_law,accuracy:0.244,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,245,94822,42,176.71836734693878,43296,MMLU:professional_law,accuracy:0.264,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,490,94822,42,173.91632653061225,85219,MMLU:professional_law,accuracy:0.241,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,548,94822,42,172.73540145985402,94659,MMLU:professional_law,accuracy:0.244,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,548,94822,42,172.73540145985402,94659,MMLU:professional_law,accuracy:0.244,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,balanced,548,94822,42,172.73540145985402,94659,MMLU:professional_law,accuracy:0.244,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,245,142233,42,332.7795918367347,81531,MMLU:professional_law,accuracy:0.257,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,490,142233,42,277.8081632653061,136126,MMLU:professional_law,accuracy:0.248,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,521,142233,42,272.8176583493282,142138,MMLU:professional_law,accuracy:0.248,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,521,142233,42,272.8176583493282,142138,MMLU:professional_law,accuracy:0.248,0
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,521,142233,42,272.8176583493282,142138,MMLU:professional_law,accuracy:0.248,0
