model_name,tuning_method,subset_strategy,subset_size,target_tokens,random_seed,avg_token_length,total_tokens,evaluation_dataset,accuracy,training_time
HuggingFaceTB/SmolLM-135M-Instruct,0-shot,few_long,0,5000,42,,0,MMLU:anatomy,0.3333333333333333,4.4004857540130615
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,100,5000,42,29.1,2910,MMLU:anatomy,0.37037037037037035,212.41856908798218
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,250,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,260.5605134963989
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,500,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,87.67561078071594
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,750,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,211.07664275169373
HuggingFaceTB/SmolLM-135M-Instruct,FMT,few_long,1000,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,190.408282995224
HuggingFaceTB/SmolLM-135M-Instruct,0-shot,many_short,0,5000,42,,0,MMLU:anatomy,0.3333333333333333,3.3517301082611084
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,100,5000,42,26.35,2635,MMLU:anatomy,0.37037037037037035,77.5005099773407
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,250,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,193.66184425354004
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,500,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,235.96188282966614
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,750,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,130.76305770874023
HuggingFaceTB/SmolLM-135M-Instruct,FMT,many_short,1000,5000,42,28.083333333333332,3033,MMLU:anatomy,0.37037037037037035,303.14291191101074
